,Abyssocucumis abyssorum,Acanthascinae,Acanthoptilum,Actinernus,Actiniaria,Actinopterygii,Amphipoda,Apostichopus leukothele,Asbestopluma,Asbestopluma monticola,Asteroidea,Benthocodon pedunculata,Brisingida,Caridea,Ceriantharia,Chionoecetes tanneri,Chorilia longipes,Corallimorphus pilatus,Crinoidea,Delectopecten,Elpidia,Farrea,Florometra serratissima,Funiculina,Gastropoda,Gersemia juliepackardae,Heterocarpus,Heterochone calyx,Heteropolypus ritteri,Hexactinellida,Hippasteria,Holothuroidea,Hormathiidae,Isidella tentaculum,Isididae,Isosicyonis,Keratoisis,Liponema brevicorne,Lithodidae,Mediaster aequalis,Merluccius productus,Metridium farcimen,Microstomus pacificus,Munidopsis,Munnopsidae,Mycale,Octopus rubescens,Ophiacanthidae,Ophiuroidea,Paelopatides confundens,Pandalus amplus,Pandalus platyceros,Pannychia moseleyi,Paragorgia,Paragorgia arborea,Paralomis multispina,Parastenella,Peniagone,Pennatula phosphorea,Porifera,Psathyrometra fragilis,Psolus squamatus,Ptychogastria polaris,Pyrosoma atlanticum,Rathbunaster californicus,Scleractinia,Scotoplanes,Scotoplanes globosa,Sebastes,Sebastes diploproa,Sebastolobus,Serpulidae,Staurocalyptus,Strongylocentrotus fragilis,Terebellidae,Tunicata,Umbellula,Vesicomyidae,Zoantharia
Abyssocucumis abyssorum,0.0,11.0,11.0,11.0,9.0,8.0,9.0,8.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,7.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,4.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,8.0,13.0,13.0,8.0,11.0,12.0,12.0,11.0,7.0,12.0,7.0,10.0,6.0,12.0,13.0,10.0,9.0,7.0,8.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Acanthascinae,11.0,0.0,10.0,10.0,8.0,7.0,8.0,11.0,8.0,9.0,7.0,11.0,8.0,9.0,8.0,11.0,11.0,11.0,7.0,10.0,10.0,6.0,11.0,10.0,7.0,11.0,11.0,7.0,11.0,3.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,11.0,12.0,10.0,9.0,8.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,4.0,11.0,11.0,11.0,12.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,2.0,11.0,9.0,7.0,10.0,9.0,8.0
Acanthoptilum,11.0,10.0,0.0,8.0,6.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,6.0,11.0,11.0,9.0,7.0,10.0,10.0,10.0,11.0,4.0,7.0,7.0,11.0,11.0,5.0,7.0,10.0,7.0,7.0,5.0,5.0,8.0,4.0,9.0,9.0,11.0,12.0,9.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,4.0,5.0,11.0,4.0,10.0,5.0,6.0,11.0,11.0,9.0,12.0,11.0,6.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,4.0,9.0,6.0
Actinernus,11.0,10.0,8.0,0.0,2.0,7.0,8.0,11.0,10.0,11.0,7.0,9.0,8.0,9.0,4.0,11.0,11.0,7.0,7.0,10.0,10.0,10.0,11.0,8.0,7.0,9.0,11.0,11.0,9.0,7.0,10.0,7.0,3.0,9.0,7.0,4.0,8.0,5.0,9.0,11.0,12.0,5.0,12.0,10.0,9.0,10.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,8.0,9.0,11.0,8.0,10.0,9.0,6.0,11.0,11.0,9.0,12.0,11.0,4.0,10.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,9.0,7.0,8.0,9.0,4.0
Actiniaria,9.0,8.0,6.0,2.0,0.0,5.0,6.0,9.0,8.0,9.0,5.0,7.0,6.0,7.0,2.0,9.0,9.0,5.0,5.0,8.0,8.0,8.0,9.0,6.0,5.0,7.0,9.0,9.0,7.0,5.0,8.0,5.0,1.0,7.0,5.0,2.0,6.0,3.0,7.0,9.0,10.0,3.0,10.0,8.0,7.0,8.0,9.0,7.0,5.0,9.0,10.0,10.0,9.0,6.0,7.0,9.0,6.0,8.0,7.0,4.0,9.0,9.0,7.0,10.0,9.0,2.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,5.0,6.0,7.0,2.0
Actinopterygii,8.0,7.0,7.0,7.0,5.0,0.0,5.0,8.0,7.0,8.0,4.0,8.0,5.0,6.0,5.0,8.0,8.0,8.0,4.0,7.0,7.0,7.0,8.0,7.0,4.0,8.0,8.0,8.0,8.0,4.0,7.0,4.0,6.0,8.0,6.0,7.0,7.0,8.0,6.0,8.0,5.0,8.0,5.0,7.0,6.0,7.0,8.0,6.0,4.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,8.0,3.0,8.0,8.0,8.0,7.0,8.0,5.0,7.0,8.0,4.0,5.0,4.0,6.0,7.0,8.0,6.0,2.0,7.0,6.0,5.0
Amphipoda,9.0,8.0,8.0,8.0,6.0,5.0,0.0,9.0,8.0,9.0,5.0,9.0,6.0,3.0,6.0,5.0,5.0,9.0,5.0,8.0,8.0,8.0,9.0,8.0,5.0,9.0,5.0,9.0,9.0,5.0,8.0,5.0,7.0,9.0,7.0,8.0,8.0,9.0,3.0,9.0,10.0,9.0,10.0,4.0,3.0,8.0,9.0,7.0,5.0,9.0,6.0,6.0,9.0,8.0,9.0,5.0,8.0,8.0,9.0,4.0,9.0,9.0,9.0,10.0,9.0,6.0,8.0,9.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,5.0,8.0,7.0,6.0
Apostichopus leukothele,8.0,11.0,11.0,11.0,9.0,8.0,9.0,0.0,11.0,12.0,6.0,12.0,7.0,10.0,9.0,12.0,12.0,12.0,6.0,11.0,7.0,11.0,10.0,11.0,8.0,12.0,12.0,12.0,12.0,8.0,9.0,4.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,12.0,8.0,6.0,6.0,13.0,13.0,8.0,11.0,12.0,12.0,11.0,7.0,12.0,7.0,10.0,8.0,12.0,13.0,10.0,9.0,7.0,8.0,12.0,13.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,10.0,9.0
Asbestopluma,11.0,8.0,10.0,10.0,8.0,7.0,8.0,11.0,0.0,1.0,7.0,11.0,8.0,9.0,8.0,11.0,11.0,11.0,7.0,10.0,10.0,8.0,11.0,10.0,7.0,11.0,11.0,9.0,11.0,5.0,10.0,7.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,11.0,12.0,11.0,12.0,10.0,9.0,4.0,11.0,9.0,7.0,11.0,12.0,12.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,4.0,11.0,11.0,11.0,12.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,8.0,11.0,9.0,7.0,10.0,9.0,8.0
Asbestopluma monticola,12.0,9.0,11.0,11.0,9.0,8.0,9.0,12.0,1.0,0.0,8.0,12.0,9.0,10.0,9.0,12.0,12.0,12.0,8.0,11.0,11.0,9.0,12.0,11.0,8.0,12.0,12.0,10.0,12.0,6.0,11.0,8.0,10.0,12.0,10.0,11.0,11.0,12.0,10.0,12.0,13.0,12.0,13.0,11.0,10.0,5.0,12.0,10.0,8.0,12.0,13.0,13.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,5.0,12.0,12.0,12.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,9.0,12.0,10.0,8.0,11.0,10.0,9.0
