,Abyssocucumis abyssorum,Acanthascinae,Acanthoptilum,Actinernus,Actiniaria,Actinopterygii,Amphipoda,Apostichopus leukothele,Asbestopluma,Asbestopluma monticola,Asteroidea,Benthocodon pedunculata,Brisingida,Caridea,Ceriantharia,Chionoecetes tanneri,Chorilia longipes,Corallimorphus pilatus,Crinoidea,Delectopecten,Elpidia,Farrea,Florometra serratissima,Funiculina,Munnopsidae,Mycale,Octopus rubescens,Ophiacanthidae,Ophiuroidea,Paelopatides confundens,Pandalus amplus,Pandalus platyceros,Gastropoda,Gersemia juliepackardae,Heterocarpus,Heterochone calyx,Heteropolypus ritteri,Hexactinellida,Hippasteria,Holothuroidea,Hormathiidae,Isidella tentaculum,Isididae,Isosicyonis,Keratoisis,Liponema brevicorne,Lithodidae,Mediaster aequalis,Merluccius productus,Metridium farcimen,Microstomus pacificus,Munidopsis,Pannychia moseleyi,Paragorgia,Paragorgia arborea,Paralomis multispina,Parastenella,Peniagone,Pennatula phosphorea,Porifera,Psathyrometra fragilis,Psolus squamatus,Ptychogastria polaris,Pyrosoma atlanticum,Rathbunaster californicus,Scleractinia,Scotoplanes,Scotoplanes globosa,Sebastes,Sebastes diploproa,Sebastolobus,Serpulidae,Staurocalyptus,Strongylocentrotus fragilis,Terebellidae,Tunicata,Umbellula,Vesicomyidae,Zoantharia
Abyssocucumis abyssorum,0,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,8,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,8,12,12,12,12,8,12,12,10,6,12,12,10,12,8,8,12,12,12,12,12,10,12,12,12,12,12
Acanthascinae,12,0,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,10,12,12,12,12,12,12,12,12,12,8,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,4,12,12,12,12,12,12
Acanthoptilum,12,12,0,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,6,12,12,12,10,6,8,10,6,10,12,12,12,10,12,12,12,6,6,12,6,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Actinernus,12,12,10,0,6,12,12,12,12,12,12,10,12,12,8,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,6,10,10,6,10,6,12,12,12,6,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Actiniaria,12,12,10,6,0,12,12,12,12,12,12,10,12,12,8,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,6,10,10,6,10,6,12,12,12,6,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Actinopterygii,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,8,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,10,10,10,12,12,12,12,10,12,12,12
Amphipoda,12,12,12,12,12,12,0,12,12,12,12,12,12,8,12,8,8,12,12,12,12,12,12,12,8,12,12,12,12,12,8,8,12,12,8,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,10,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Apostichopus leukothele,8,12,12,12,12,12,12,0,12,12,10,12,10,12,12,12,12,12,10,12,8,12,10,12,12,12,12,10,10,6,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,8,12,12,12,12,8,12,12,10,8,12,12,10,12,8,8,12,12,12,12,12,10,12,12,12,12,12
Asbestopluma,12,10,12,12,12,12,12,12,0,2,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,10,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12
Asbestopluma monticola,12,10,12,12,12,12,12,12,2,0,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,10,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12
Asteroidea,10,12,12,12,12,12,12,10,12,12,0,12,8,12,12,12,12,12,10,12,10,12,10,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,8,10,12,12,12,12,12,12,12,8,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,8,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Benthocodon pedunculata,12,12,10,10,10,12,12,12,12,12,12,0,12,12,10,12,12,10,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,10,10,10,10,10,10,12,12,12,10,12,12,12,10,10,12,10,12,10,12,12,12,6,12,12,10,12,12,12,12,12,12,12,12,12,12,10,12,10
Brisingida,10,12,12,12,12,12,12,10,12,12,8,12,0,12,12,12,12,12,10,12,10,12,10,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,8,10,12,12,12,12,12,12,12,8,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,8,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Caridea,12,12,12,12,12,12,8,12,12,12,12,12,12,0,12,6,6,12,12,12,12,12,12,12,8,12,12,12,12,12,6,6,12,12,6,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Ceriantharia,12,12,10,8,8,12,12,12,12,12,12,10,12,12,0,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,8,10,10,8,10,8,12,12,12,8,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Chionoecetes tanneri,12,12,12,12,12,12,8,12,12,12,12,12,12,6,12,0,6,12,12,12,12,12,12,12,8,12,12,12,12,12,6,6,12,12,6,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Chorilia longipes,12,12,12,12,12,12,8,12,12,12,12,12,12,6,12,6,0,12,12,12,12,12,12,12,8,12,12,12,12,12,6,6,12,12,6,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Corallimorphus pilatus,12,12,10,8,8,12,12,12,12,12,12,10,12,12,8,12,12,0,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,8,10,10,8,10,8,12,12,12,8,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Crinoidea,10,12,12,12,12,12,12,10,12,12,10,12,10,12,12,12,12,12,0,12,10,12,8,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,10,12,12,12,12,10,12,12,12,12,10,12,12,8,10,12,12,10,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Delectopecten,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,10,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,8,12
Elpidia,8,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,0,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,6,12,12,12,12,4,12,12,10,8,12,12,10,12,4,4,12,12,12,12,12,10,12,12,12,12,12
Farrea,12,8,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,10,12,12,12,12,12,12,12,12,12,6,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12
Florometra serratissima,10,12,12,12,12,12,12,10,12,12,10,12,10,12,12,12,12,12,8,12,10,12,0,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,10,12,12,12,12,10,12,12,12,12,10,12,12,6,10,12,12,10,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Funiculina,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,8,12,12,6,12,12,12,10,6,8,10,6,10,12,12,12,10,12,12,12,6,6,12,6,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Munnopsidae,12,12,12,12,12,12,8,12,12,12,12,12,12,8,12,8,8,12,12,12,12,12,12,12,0,12,12,12,12,12,8,8,12,12,8,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,10,12,12,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Mycale,12,10,12,12,12,12,12,12,6,6,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,0,12,12,12,12,12,12,12,12,12,10,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12
Octopus rubescens,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,0,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12
Ophiacanthidae,10,12,12,12,12,12,12,10,12,12,10,12,10,12,12,12,12,12,10,12,10,12,10,12,12,12,12,0,8,10,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,10,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,10,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Ophiuroidea,10,12,12,12,12,12,12,10,12,12,10,12,10,12,12,12,12,12,10,12,10,12,10,12,12,12,12,8,0,10,12,12,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,10,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,10,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Paelopatides confundens,8,12,12,12,12,12,12,6,12,12,10,12,10,12,12,12,12,12,10,12,8,12,10,12,12,12,12,10,10,0,12,12,12,12,12,12,12,12,10,8,12,12,12,12,12,12,12,10,12,12,12,12,8,12,12,12,12,8,12,12,10,8,12,12,10,12,8,8,12,12,12,12,12,10,12,12,12,12,12
Pandalus amplus,12,12,12,12,12,12,8,12,12,12,12,12,12,6,12,6,6,12,12,12,12,12,12,12,8,12,12,12,12,12,0,2,12,12,4,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Pandalus platyceros,12,12,12,12,12,12,8,12,12,12,12,12,12,6,12,6,6,12,12,12,12,12,12,12,8,12,12,12,12,12,2,0,12,12,4,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Gastropoda,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,10,12,12,12,12,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12
Gersemia juliepackardae,12,12,8,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,0,12,12,8,12,12,12,10,8,6,10,8,10,12,12,12,10,12,12,12,8,8,12,8,12,8,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,8,12,10
Heterocarpus,12,12,12,12,12,12,8,12,12,12,12,12,12,6,12,6,6,12,12,12,12,12,12,12,8,12,12,12,12,12,4,4,12,12,0,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,12,10,12,12,12,6,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Heterochone calyx,12,8,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,6,12,12,12,10,12,12,12,12,12,12,12,12,12,0,12,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12
Heteropolypus ritteri,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,0,12,12,12,10,6,8,10,6,10,12,12,12,10,12,12,12,4,4,12,6,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Hexactinellida,12,8,12,12,12,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,10,12,12,12,12,12,12,12,12,12,8,12,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,12,12,12,8,12,12,12,12,12,12
Hippasteria,10,12,12,12,12,12,12,10,12,12,8,12,8,12,12,12,12,12,10,12,10,12,10,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,0,10,12,12,12,12,12,12,12,4,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,8,12,10,10,12,12,12,12,12,10,12,12,12,12,12
Holothuroidea,8,12,12,12,12,12,12,8,12,12,10,12,10,12,12,12,12,12,10,12,8,12,10,12,12,12,12,10,10,8,12,12,12,12,12,12,12,12,10,0,12,12,12,12,12,12,12,10,12,12,12,12,8,12,12,12,12,8,12,12,10,8,12,12,10,12,8,8,12,12,12,12,12,10,12,12,12,12,12
Hormathiidae,12,12,10,6,6,12,12,12,12,12,12,10,12,12,8,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,0,10,10,6,10,6,12,12,12,6,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Isidella tentaculum,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,6,12,12,12,10,0,8,10,4,10,12,12,12,10,12,12,12,6,6,12,6,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Isididae,12,12,8,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,8,12,12,12,12,12,12,12,12,12,6,12,12,8,12,12,12,10,8,0,10,8,10,12,12,12,10,12,12,12,8,8,12,8,12,8,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,8,12,10
Isosicyonis,12,12,10,6,6,12,12,12,12,12,12,10,12,12,8,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,6,10,10,0,10,6,12,12,12,6,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Keratoisis,12,12,6,10,10,12,12,12,12,12,12,10,12,12,10,12,12,10,12,12,12,12,12,6,12,12,12,12,12,12,12,12,12,8,12,12,6,12,12,12,10,4,8,10,0,10,12,12,12,10,12,12,12,6,6,12,6,12,6,12,12,12,10,12,12,10,12,12,12,12,12,12,12,12,12,12,6,12,10
Liponema brevicorne,12,12,10,6,6,12,12,12,12,12,12,10,12,12,8,12,12,8,12,12,12,12,12,10,12,12,12,12,12,12,12,12,12,10,12,12,10,12,12,12,6,10,10,6,10,0,12,12,12,6,12,12,12,10,10,12,10,12,10,12,12,12,10,12,12,8,12,12,12,12,12,12,12,12,12,12,10,12,8
Lithodidae,12,12,12,12,12,12,8,12,12,12,12,12,12,6,12,6,6,12,12,12,12,12,12,12,8,12,12,12,12,12,6,6,12,12,6,12,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,10,12,12,12,4,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Mediaster aequalis,10,12,12,12,12,12,12,10,12,12,8,12,8,12,12,12,12,12,10,12,10,12,10,12,12,12,12,10,10,10,12,12,12,12,12,12,12,12,4,10,12,12,12,12,12,12,12,0,12,12,12,12,10,12,12,12,12,10,12,12,10,10,12,12,8,12,10,10,12,12,12,12,12,10,12,12,12,12,12
