species,genus,family,order,class,phylum,kingdom
Abyssocucumis abyssorum,Abyssocucumis,Cucumariidae,Dendrochirotida,Holothuroidea,Echinodermata,Animalia
unknown,Acanthascinae,Rossellidae,Lyssacinosida,Hexactinellida,Porifera,Animalia
unknown,Acanthoptilum,Virgulariidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
unknown,Actinernus,Actinernidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
unknown,unknown,unknown,Actinopterygii,nan,Chordata,Animalia
unknown,unknown,unknown,Amphipoda,Malacostraca,Arthropoda,Animalia
Apostichopus leukothele,Apostichopus,Stichopodidae,Synallactida,Holothuroidea,Echinodermata,Animalia
unknown,Asbestopluma,Cladorhizidae,Poecilosclerida,Demospongiae,Porifera,Animalia
Asbestopluma monticola,Asbestopluma,Cladorhizidae,Poecilosclerida,Demospongiae,Porifera,Animalia
Benthocodon pedunculata,Benthocodon,Rhopalonematidae,Trachymedusae,Hydrozoa,Cnidaria,Animalia
unknown,unknown,unknown,Brisingida,Asteroidea,Echinodermata,Animalia
unknown,unknown,Caridea,Decapoda,Malacostraca,Arthropoda,Animalia
unknown,unknown,unknown,Ceriantharia,Hexacorallia,Cnidaria,Animalia
Chionoecetes tanneri,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,Arthropoda,Animalia
Chorilia longipes,Chorilia,Epialtidae,Decapoda,Malacostraca,Arthropoda,Animalia
Corallimorphus pilatus,Corallimorphus,Corallimorphidae,Corallimorpharia,Hexacorallia,Cnidaria,Animalia
unknown,Delectopecten,Pectinidae,Pectinida,Bivalvia,Mollusca,Animalia
unknown,Elpidia,Elpidiidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
unknown,Farrea,Farreidae,Sceptrulophora,Hexactinellida,Porifera,Animalia
Florometra serratissima,Florometra,Antedonidae,Comatulida,Crinoidea,Echinodermata,Animalia
unknown,Funiculina,Funiculinidae,Pennatulacea,Anthozoa,Cnidaria,Animalia
unknown,unknown,Munnopsidae,Isopoda,Malacostraca,Arthropoda,Animalia
unknown,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Porifera,Animalia
Octopus rubescens,Octopus,Octopodidae,Octopoda,Cephalopoda,Mollusca,Animalia
unknown,unknown,Ophiacanthidae,Ophiacanthida,Ophiuroidea,Echinodermata,Animalia
Paelopatides confundens,Paelopatides,Synallactidae,Synallactida,Holothuroidea,Echinodermata,Animalia
Pandalus amplus,Pandalus,Pandalidae,Decapoda,Malacostraca,Arthropoda,Animalia
Pandalus platyceros,Pandalus,Pandalidae,Decapoda,Malacostraca,Arthropoda,Animalia
Gersemia juliepackardae,Gersemia,Alcyoniidae,Malacalcyonacea,Octocorallia,Cnidaria,Animalia
unknown,Heterocarpus,Pandalidae,Decapoda,Malacostraca,Arthropoda,Animalia
Heterochone calyx,Heterochone,Aphrocallistidae,Sceptrulophora,Hexactinellida,Porifera,Animalia
Heteropolypus ritteri,Heteropolypus,Coralliidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
unknown,Hippasteria,Goniasteridae,Valvatida,Asteroidea,Echinodermata,Animalia
unknown,unknown,Hormathiidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
Isidella tentaculum,Isidella,Keratoisididae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
unknown,unknown,Isididae,Malacalcyonacea,Octocorallia,Cnidaria,Animalia
unknown,Isosicyonis,Actiniidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
unknown,Keratoisis,Keratoisididae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Liponema brevicorne,Liponema,Liponematidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
unknown,unknown,Lithodidae,Decapoda,Malacostraca,Arthropoda,Animalia
Mediaster aequalis,Mediaster,Goniasteridae,Valvatida,Asteroidea,Echinodermata,Animalia
Merluccius productus,Merluccius,Merlucciidae,Gadiformes,Teleostei,Chordata,Animalia
Metridium farcimen,Metridium,Metridiidae,Actiniaria,Hexacorallia,Cnidaria,Animalia
Microstomus pacificus,Microstomus,Pleuronectidae,Pleuronectiformes,Teleostei,Chordata,Animalia
unknown,Munidopsis,Munidopsidae,Decapoda,Malacostraca,Arthropoda,Animalia
Pannychia moseleyi,Pannychia,Laetmogonidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
unknown,Paragorgia,Coralliidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Paragorgia arborea,Paragorgia,Coralliidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Paralomis multispina,Paralomis,Lithodidae,Decapoda,Malacostraca,Arthropoda,Animalia
unknown,Parastenella,Primnoidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
unknown,Peniagone,Elpidiidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
Pennatula phosphorea,Pennatula,Pennatulidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
Psathyrometra fragilis,Psathyrometra,Zenometridae,Comatulida,Crinoidea,Echinodermata,Animalia
Psolus squamatus,Psolus,Psolidae,Dendrochirotida,Holothuroidea,Echinodermata,Animalia
Ptychogastria polaris,Ptychogastria,Ptychogastriidae,Trachymedusae,Hydrozoa,Cnidaria,Animalia
Pyrosoma atlanticum,Pyrosoma,Pyrosomatidae,Pyrosomatida,Thaliacea,Chordata,Animalia
Rathbunaster californicus,Rathbunaster,Asteriidae,Forcipulatida,Asteroidea,Echinodermata,Animalia
unknown,unknown,unknown,Scleractinia,Hexacorallia,Cnidaria,Animalia
unknown,Scotoplanes,Elpidiidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
Scotoplanes globosa,Scotoplanes,Elpidiidae,Elasipodida,Holothuroidea,Echinodermata,Animalia
unknown,Sebastes,Sebastidae,Perciformes,Teleostei,Chordata,Animalia
Sebastes diploproa,Sebastes,Sebastidae,Perciformes,Teleostei,Chordata,Animalia
unknown,Sebastolobus,Sebastidae,Perciformes,Teleostei,Chordata,Animalia
unknown,unknown,Serpulidae,Sabellida,Polychaeta,Annelida,Animalia
unknown,Staurocalyptus,Rossellidae,Lyssacinosida,Hexactinellida,Porifera,Animalia
Strongylocentrotus fragilis,Strongylocentrotus,Strongylocentrotidae,Camarodonta,Echinoidea,Echinodermata,Animalia
unknown,unknown,Terebellidae,Terebellida,Polychaeta,Annelida,Animalia
unknown,unknown,unknown,Tunicata,nan,Chordata,Animalia
unknown,Umbellula,Umbellulidae,Scleralcyonacea,Octocorallia,Cnidaria,Animalia
unknown,unknown,Vesicomyidae,Venerida,Bivalvia,Mollusca,Animalia
unknown,unknown,unknown,Zoantharia,Hexacorallia,Cnidaria,Animalia
