image_path,text
/home/dzimmerman2021/Documents/fathomnet/train/rois/500_2038.png,a photo of Strongylocentrotus fragilis
/home/dzimmerman2021/Documents/fathomnet/train/rois/7311_20336.png,a photo of Actinopterygii
/home/dzimmerman2021/Documents/fathomnet/train/rois/2705_9154.png,a photo of Hippasteria
/home/dzimmerman2021/Documents/fathomnet/train/rois/69_280.png,a photo of Ophiuroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/328_1222.png,a photo of Asteroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/1774_6404.png,a photo of Staurocalyptus
/home/dzimmerman2021/Documents/fathomnet/train/rois/579_2366.png,a photo of Keratoisis
/home/dzimmerman2021/Documents/fathomnet/train/rois/3205_10613.png,a photo of Holothuroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/1987_7131.png,a photo of Sebastolobus
/home/dzimmerman2021/Documents/fathomnet/train/rois/5590_16574.png,a photo of Abyssocucumis abyssorum
/home/dzimmerman2021/Documents/fathomnet/train/rois/4416_13666.png,a photo of Acanthascinae
/home/dzimmerman2021/Documents/fathomnet/train/rois/59_240.png,a photo of Keratoisis
/home/dzimmerman2021/Documents/fathomnet/train/rois/3103_10403.png,a photo of Hexactinellida
/home/dzimmerman2021/Documents/fathomnet/train/rois/5484_16346.png,a photo of Elpidia
/home/dzimmerman2021/Documents/fathomnet/train/rois/1529_5650.png,a photo of Hormathiidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/1479_5490.png,a photo of Vesicomyidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/2041_7247.png,a photo of Actinernus
/home/dzimmerman2021/Documents/fathomnet/train/rois/552_2275.png,a photo of Strongylocentrotus fragilis
/home/dzimmerman2021/Documents/fathomnet/train/rois/2573_8718.png,a photo of Keratoisis
/home/dzimmerman2021/Documents/fathomnet/train/rois/4980_15054.png,a photo of Octopus rubescens
/home/dzimmerman2021/Documents/fathomnet/train/rois/8385_22538.png,a photo of Apostichopus leukothele
/home/dzimmerman2021/Documents/fathomnet/train/rois/1776_6407.png,a photo of Asteroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/1191_4578.png,a photo of Isididae
/home/dzimmerman2021/Documents/fathomnet/train/rois/4865_14804.png,a photo of Pyrosoma atlanticum
/home/dzimmerman2021/Documents/fathomnet/train/rois/5401_16147.png,a photo of Paelopatides confundens
/home/dzimmerman2021/Documents/fathomnet/train/rois/8655_23007.png,a photo of Mycale
/home/dzimmerman2021/Documents/fathomnet/train/rois/241_873.png,a photo of Actiniaria
/home/dzimmerman2021/Documents/fathomnet/train/rois/4248_13262.png,a photo of Heteropolypus ritteri
/home/dzimmerman2021/Documents/fathomnet/train/rois/7468_20738.png,a photo of Pandalus platyceros
/home/dzimmerman2021/Documents/fathomnet/train/rois/3071_10332.png,a photo of Munidopsis
/home/dzimmerman2021/Documents/fathomnet/train/rois/2184_7646.png,a photo of Hexactinellida
/home/dzimmerman2021/Documents/fathomnet/train/rois/862_3370.png,a photo of Pennatula phosphorea
/home/dzimmerman2021/Documents/fathomnet/train/rois/1366_5102.png,a photo of Chionoecetes tanneri
/home/dzimmerman2021/Documents/fathomnet/train/rois/7379_20486.png,a photo of Mycale
/home/dzimmerman2021/Documents/fathomnet/train/rois/6976_19641.png,a photo of Chorilia longipes
/home/dzimmerman2021/Documents/fathomnet/train/rois/595_2441.png,a photo of Ophiacanthidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/6440_18545.png,a photo of Scleractinia
/home/dzimmerman2021/Documents/fathomnet/train/rois/2893_9631.png,a photo of Psathyrometra fragilis
/home/dzimmerman2021/Documents/fathomnet/train/rois/2759_9320.png,a photo of Pennatula phosphorea
/home/dzimmerman2021/Documents/fathomnet/train/rois/356_1334.png,a photo of Elpidia
/home/dzimmerman2021/Documents/fathomnet/train/rois/1233_4700.png,a photo of Asteroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/4483_13844.png,a photo of Tunicata
/home/dzimmerman2021/Documents/fathomnet/train/rois/272_1012.png,a photo of Isosicyonis
/home/dzimmerman2021/Documents/fathomnet/train/rois/313_1166.png,a photo of Heterochone calyx
/home/dzimmerman2021/Documents/fathomnet/train/rois/4202_13102.png,a photo of Amphipoda
/home/dzimmerman2021/Documents/fathomnet/train/rois/1014_3927.png,a photo of Peniagone
/home/dzimmerman2021/Documents/fathomnet/train/rois/7061_19818.png,a photo of Acanthascinae
/home/dzimmerman2021/Documents/fathomnet/train/rois/600_2458.png,a photo of Strongylocentrotus fragilis
/home/dzimmerman2021/Documents/fathomnet/train/rois/3281_10797.png,a photo of Mycale
/home/dzimmerman2021/Documents/fathomnet/train/rois/2576_8782.png,a photo of Serpulidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/94_387.png,a photo of Actiniaria
/home/dzimmerman2021/Documents/fathomnet/train/rois/3107_10418.png,a photo of Corallimorphus pilatus
/home/dzimmerman2021/Documents/fathomnet/train/rois/6112_17788.png,a photo of Terebellidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/5593_16605.png,a photo of Ptychogastria polaris
/home/dzimmerman2021/Documents/fathomnet/train/rois/7269_20237.png,a photo of Florometra serratissima
/home/dzimmerman2021/Documents/fathomnet/train/rois/5657_16810.png,a photo of Apostichopus leukothele
/home/dzimmerman2021/Documents/fathomnet/train/rois/1637_6006.png,a photo of Crinoidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/3696_11823.png,a photo of Funiculina
/home/dzimmerman2021/Documents/fathomnet/train/rois/8547_22819.png,a photo of Brisingida
/home/dzimmerman2021/Documents/fathomnet/train/rois/1370_5119.png,a photo of Rathbunaster californicus
/home/dzimmerman2021/Documents/fathomnet/train/rois/7694_21250.png,a photo of Paelopatides confundens
/home/dzimmerman2021/Documents/fathomnet/train/rois/8056_21920.png,a photo of Abyssocucumis abyssorum
/home/dzimmerman2021/Documents/fathomnet/train/rois/2451_8372.png,a photo of Funiculina
/home/dzimmerman2021/Documents/fathomnet/train/rois/6315_18305.png,a photo of Sebastes
/home/dzimmerman2021/Documents/fathomnet/train/rois/7539_20904.png,a photo of Benthocodon pedunculata
/home/dzimmerman2021/Documents/fathomnet/train/rois/5236_15748.png,a photo of Umbellula
/home/dzimmerman2021/Documents/fathomnet/train/rois/1072_4137.png,a photo of Asteroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/6425_18519.png,a photo of Liponema brevicorne
/home/dzimmerman2021/Documents/fathomnet/train/rois/3422_11123.png,a photo of Heteropolypus ritteri
/home/dzimmerman2021/Documents/fathomnet/train/rois/7486_20789.png,a photo of Ophiacanthidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/1908_6876.png,a photo of Metridium farcimen
/home/dzimmerman2021/Documents/fathomnet/train/rois/388_1486.png,a photo of Munidopsis
/home/dzimmerman2021/Documents/fathomnet/train/rois/649_2630.png,a photo of Scotoplanes
/home/dzimmerman2021/Documents/fathomnet/train/rois/2920_9697.png,a photo of Scotoplanes globosa
/home/dzimmerman2021/Documents/fathomnet/train/rois/3212_10647.png,a photo of Paragorgia arborea
/home/dzimmerman2021/Documents/fathomnet/train/rois/4604_14183.png,a photo of Corallimorphus pilatus
/home/dzimmerman2021/Documents/fathomnet/train/rois/7048_19786.png,a photo of Benthocodon pedunculata
/home/dzimmerman2021/Documents/fathomnet/train/rois/5302_15903.png,a photo of Pennatula phosphorea
/home/dzimmerman2021/Documents/fathomnet/train/rois/1977_7050.png,a photo of Isididae
/home/dzimmerman2021/Documents/fathomnet/train/rois/6944_19579.png,a photo of Corallimorphus pilatus
/home/dzimmerman2021/Documents/fathomnet/train/rois/8597_22900.png,a photo of Sebastes diploproa
/home/dzimmerman2021/Documents/fathomnet/train/rois/2899_9655.png,a photo of Hexactinellida
/home/dzimmerman2021/Documents/fathomnet/train/rois/704_2807.png,a photo of Asteroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/5709_16944.png,a photo of Asbestopluma monticola
/home/dzimmerman2021/Documents/fathomnet/train/rois/914_3567.png,a photo of Keratoisis
/home/dzimmerman2021/Documents/fathomnet/train/rois/2978_10009.png,a photo of Umbellula
/home/dzimmerman2021/Documents/fathomnet/train/rois/884_3463.png,a photo of Sebastolobus
/home/dzimmerman2021/Documents/fathomnet/train/rois/3790_12033.png,a photo of Umbellula
/home/dzimmerman2021/Documents/fathomnet/train/rois/5021_15164.png,a photo of Asbestopluma monticola
/home/dzimmerman2021/Documents/fathomnet/train/rois/41_166.png,a photo of Hexactinellida
/home/dzimmerman2021/Documents/fathomnet/train/rois/8618_22930.png,a photo of Brisingida
/home/dzimmerman2021/Documents/fathomnet/train/rois/2116_7470.png,a photo of Octopus rubescens
/home/dzimmerman2021/Documents/fathomnet/train/rois/4371_13571.png,a photo of Asbestopluma monticola
/home/dzimmerman2021/Documents/fathomnet/train/rois/8011_21839.png,a photo of Mycale
/home/dzimmerman2021/Documents/fathomnet/train/rois/4500_13879.png,a photo of Metridium farcimen
/home/dzimmerman2021/Documents/fathomnet/train/rois/4553_14022.png,a photo of Gastropoda
/home/dzimmerman2021/Documents/fathomnet/train/rois/4186_13059.png,a photo of Ceriantharia
/home/dzimmerman2021/Documents/fathomnet/train/rois/8099_21997.png,a photo of Chorilia longipes
/home/dzimmerman2021/Documents/fathomnet/train/rois/1073_4148.png,a photo of Mycale
/home/dzimmerman2021/Documents/fathomnet/train/rois/351_1323.png,a photo of Paelopatides confundens
/home/dzimmerman2021/Documents/fathomnet/train/rois/2065_7310.png,a photo of Pandalus amplus
/home/dzimmerman2021/Documents/fathomnet/train/rois/259_950.png,a photo of Ophiuroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/498_2002.png,a photo of Ophiuroidea
/home/dzimmerman2021/Documents/fathomnet/train/rois/6304_18280.png,a photo of Pyrosoma atlanticum
/home/dzimmerman2021/Documents/fathomnet/train/rois/2940_9802.png,a photo of Pandalus amplus
/home/dzimmerman2021/Documents/fathomnet/train/rois/3444_11258.png,a photo of Zoantharia
/home/dzimmerman2021/Documents/fathomnet/train/rois/8429_22605.png,a photo of Heterocarpus
/home/dzimmerman2021/Documents/fathomnet/train/rois/7980_21771.png,a photo of Lithodidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/857_3327.png,a photo of Metridium farcimen
/home/dzimmerman2021/Documents/fathomnet/train/rois/6999_19680.png,a photo of Vesicomyidae
/home/dzimmerman2021/Documents/fathomnet/train/rois/2253_7813.png,a photo of Pandalus amplus
/home/dzimmerman2021/Documents/fathomnet/train/rois/1614_5921.png,a photo of Sebastolobus
